"Step","_n_M_512_e500_b16_lr0.001_4 - metrics/mAP_0.5","_n_M_512_e500_b16_lr0.001_4 - metrics/mAP_0.5__MIN","_n_M_512_e500_b16_lr0.001_4 - metrics/mAP_0.5__MAX","_n_M_512_e500_b16_lr0.0005_3 - metrics/mAP_0.5","_n_M_512_e500_b16_lr0.0005_3 - metrics/mAP_0.5__MIN","_n_M_512_e500_b16_lr0.0005_3 - metrics/mAP_0.5__MAX","_n_M_512_e500_b16_lr0.0005_2 - metrics/mAP_0.5","_n_M_512_e500_b16_lr0.0005_2 - metrics/mAP_0.5__MIN","_n_M_512_e500_b16_lr0.0005_2 - metrics/mAP_0.5__MAX","_n_M_512_e500_b16_lr0.005_2 - metrics/mAP_0.5","_n_M_512_e500_b16_lr0.005_2 - metrics/mAP_0.5__MIN","_n_M_512_e500_b16_lr0.005_2 - metrics/mAP_0.5__MAX","_n_M_512_e500_b16_lr0.005_3 - metrics/mAP_0.5","_n_M_512_e500_b16_lr0.005_3 - metrics/mAP_0.5__MIN","_n_M_512_e500_b16_lr0.005_3 - metrics/mAP_0.5__MAX","_n_M_512_e500_b16_lr0.0001_2 - metrics/mAP_0.5","_n_M_512_e500_b16_lr0.0001_2 - metrics/mAP_0.5__MIN","_n_M_512_e500_b16_lr0.0001_2 - metrics/mAP_0.5__MAX","_n_M_512_e500_b16_lr0.0001_3 - metrics/mAP_0.5","_n_M_512_e500_b16_lr0.0001_3 - metrics/mAP_0.5__MIN","_n_M_512_e500_b16_lr0.0001_3 - metrics/mAP_0.5__MAX","_n_M_512_e500_b16_lr0.001_3 - metrics/mAP_0.5","_n_M_512_e500_b16_lr0.001_3 - metrics/mAP_0.5__MIN","_n_M_512_e500_b16_lr0.001_3 - metrics/mAP_0.5__MAX","_n_M_512_e500_b16_lr0.001_2 - metrics/mAP_0.5","_n_M_512_e500_b16_lr0.001_2 - metrics/mAP_0.5__MIN","_n_M_512_e500_b16_lr0.001_2 - metrics/mAP_0.5__MAX","_n_M_512_e500_b16_lr0.01_3 - metrics/mAP_0.5","_n_M_512_e500_b16_lr0.01_3 - metrics/mAP_0.5__MIN","_n_M_512_e500_b16_lr0.01_3 - metrics/mAP_0.5__MAX","_n_M_512_e500_b16_lr0.01_2 - metrics/mAP_0.5","_n_M_512_e500_b16_lr0.01_2 - metrics/mAP_0.5__MIN","_n_M_512_e500_b16_lr0.01_2 - metrics/mAP_0.5__MAX","_n_M_512_e500_b16_lr0.0005_1 - metrics/mAP_0.5","_n_M_512_e500_b16_lr0.0005_1 - metrics/mAP_0.5__MIN","_n_M_512_e500_b16_lr0.0005_1 - metrics/mAP_0.5__MAX","_n_M_512_e500_b16_lr0.005_1 - metrics/mAP_0.5","_n_M_512_e500_b16_lr0.005_1 - metrics/mAP_0.5__MIN","_n_M_512_e500_b16_lr0.005_1 - metrics/mAP_0.5__MAX","_n_M_512_e500_b16_lr0.0001_1 - metrics/mAP_0.5","_n_M_512_e500_b16_lr0.0001_1 - metrics/mAP_0.5__MIN","_n_M_512_e500_b16_lr0.0001_1 - metrics/mAP_0.5__MAX","_n_M_512_e500_b16_lr0.01_1 - metrics/mAP_0.5","_n_M_512_e500_b16_lr0.01_1 - metrics/mAP_0.5__MIN","_n_M_512_e500_b16_lr0.01_1 - metrics/mAP_0.5__MAX"
"10","0.0019000255888684155","0.0019000255888684155","0.0019000255888684155","0.0013317632296897506","0.0013317632296897506","0.0013317632296897506","0.0005909346740692252","0.0005909346740692252","0.0005909346740692252","0.0022281386414064715","0.0022281386414064715","0.0022281386414064715","0.01160442670467894","0.01160442670467894","0.01160442670467894","0.000059807010890899265","0.000059807010890899265","0.000059807010890899265","0.00004646354826575738","0.00004646354826575738","0.00004646354826575738","0.003159340523289931","0.003159340523289931","0.003159340523289931","0.0021038782543096094","0.0021038782543096094","0.0021038782543096094","0.00035017344531199546","0.00035017344531199546","0.00035017344531199546","0.0146430019307908","0.0146430019307908","0.0146430019307908","0.0003690207792084032","0.0003690207792084032","0.0003690207792084032","0.004654549767310747","0.004654549767310747","0.004654549767310747","0.0000794119242106357","0.0000794119242106357","0.0000794119242106357","0.0073570474148061055","0.0073570474148061055","0.0073570474148061055"
"11","0.003994061440704721","0.003994061440704721","0.003994061440704721","0.0009304716863594526","0.0009304716863594526","0.0009304716863594526","0.0010762935022771238","0.0010762935022771238","0.0010762935022771238","0.0015305117734548195","0.0015305117734548195","0.0015305117734548195","0.01497769946896331","0.01497769946896331","0.01497769946896331","0.00004869662650167236","0.00004869662650167236","0.00004869662650167236","0.00005918096771760765","0.00005918096771760765","0.00005918096771760765","0.007889279043235","0.007889279043235","0.007889279043235","0.005209913817572397","0.005209913817572397","0.005209913817572397","0.0021332252002764043","0.0021332252002764043","0.0021332252002764043","0.005782988477317104","0.005782988477317104","0.005782988477317104","0.0007004882872793648","0.0007004882872793648","0.0007004882872793648","0.01662903547627972","0.01662903547627972","0.01662903547627972","0.00005300280892940619","0.00005300280892940619","0.00005300280892940619","0.009340823610451812","0.009340823610451812","0.009340823610451812"
"12","0.0012720701108972718","0.0012720701108972718","0.0012720701108972718","0.0017896961555940846","0.0017896961555940846","0.0017896961555940846","0.00150897193708485","0.00150897193708485","0.00150897193708485","0.01979799437863681","0.01979799437863681","0.01979799437863681","0.012451524951387606","0.012451524951387606","0.012451524951387606","0.00008971528542712137","0.00008971528542712137","0.00008971528542712137","0.00007148374322606001","0.00007148374322606001","0.00007148374322606001","0.006779263560158259","0.006779263560158259","0.006779263560158259","0.0022132152155525087","0.0022132152155525087","0.0022132152155525087","0.00039362537464946975","0.00039362537464946975","0.00039362537464946975","0.00474791543272013","0.00474791543272013","0.00474791543272013","0.003954257702384971","0.003954257702384971","0.003954257702384971","0.005595655721373693","0.005595655721373693","0.005595655721373693","0.00006567446657429039","0.00006567446657429039","0.00006567446657429039","0.004690951515254737","0.004690951515254737","0.004690951515254737"
"13","0.004105068591252656","0.004105068591252656","0.004105068591252656","0.014071389407846503","0.014071389407846503","0.014071389407846503","0.008711239303008576","0.008711239303008576","0.008711239303008576","0.01812805385993375","0.01812805385993375","0.01812805385993375","0.010750677382073399","0.010750677382073399","0.010750677382073399","0.00005730544873578737","0.00005730544873578737","0.00005730544873578737","0.00006525012918380157","0.00006525012918380157","0.00006525012918380157","0.008830390954137245","0.008830390954137245","0.008830390954137245","0.004289991629589571","0.004289991629589571","0.004289991629589571","0.0006548190620353192","0.0006548190620353192","0.0006548190620353192","0.018416751266214722","0.018416751266214722","0.018416751266214722","0.0071780057330192845","0.0071780057330192845","0.0071780057330192845","0.00555882579611865","0.00555882579611865","0.00555882579611865","0.000043610643522833556","0.000043610643522833556","0.000043610643522833556","0.006848486112494339","0.006848486112494339","0.006848486112494339"
"14","0.0039539840928339174","0.0039539840928339174","0.0039539840928339174","0.004757046567359924","0.004757046567359924","0.004757046567359924","0.0021996194499350422","0.0021996194499350422","0.0021996194499350422","0.00565039103257031","0.00565039103257031","0.00565039103257031","0.005157824595977642","0.005157824595977642","0.005157824595977642","0.00006633678801177637","0.00006633678801177637","0.00006633678801177637","0.00007884682417934319","0.00007884682417934319","0.00007884682417934319","0.004527307953013883","0.004527307953013883","0.004527307953013883","0.0069045430658596675","0.0069045430658596675","0.0069045430658596675","0.0012017805905531493","0.0012017805905531493","0.0012017805905531493","0.0037882547179610036","0.0037882547179610036","0.0037882547179610036","0.002997787955092054","0.002997787955092054","0.002997787955092054","0.006062334318575319","0.006062334318575319","0.006062334318575319","0.00006911418604440054","0.00006911418604440054","0.00006911418604440054","0.0034720540578083584","0.0034720540578083584","0.0034720540578083584"
"15","0.007299494598839512","0.007299494598839512","0.007299494598839512","0.004846616887808864","0.004846616887808864","0.004846616887808864","0.007898968301697205","0.007898968301697205","0.007898968301697205","0.013666782935216474","0.013666782935216474","0.013666782935216474","0.012662050877941415","0.012662050877941415","0.012662050877941415","0.00004726470204898419","0.00004726470204898419","0.00004726470204898419","0.00006537586570785148","0.00006537586570785148","0.00006537586570785148","0.008840701972967555","0.008840701972967555","0.008840701972967555","0.010495539831693684","0.010495539831693684","0.010495539831693684","0.007049118659163925","0.007049118659163925","0.007049118659163925","0.0027810140328820027","0.0027810140328820027","0.0027810140328820027","0.012214687050228","0.012214687050228","0.012214687050228","0.009746232737004052","0.009746232737004052","0.009746232737004052","0.000049570804495756655","0.000049570804495756655","0.000049570804495756655","0.007200589744300527","0.007200589744300527","0.007200589744300527"
"16","0.003875161817920683","0.003875161817920683","0.003875161817920683","0.00341846196078842","0.00341846196078842","0.00341846196078842","0.0036863588888035826","0.0036863588888035826","0.0036863588888035826","0.018902150179122904","0.018902150179122904","0.018902150179122904","0.020122587113819382","0.020122587113819382","0.020122587113819382","0.00005076860003756516","0.00005076860003756516","0.00005076860003756516","0.00009626050749975492","0.00009626050749975492","0.00009626050749975492","0.013909355678271638","0.013909355678271638","0.013909355678271638","0.014591319487752684","0.014591319487752684","0.014591319487752684","0.002074848818050632","0.002074848818050632","0.002074848818050632","0.011128246880839432","0.011128246880839432","0.011128246880839432","0.004481761187970247","0.004481761187970247","0.004481761187970247","0.012778952951472834","0.012778952951472834","0.012778952951472834","0.00005988548463879017","0.00005988548463879017","0.00005988548463879017","0.005893524995930267","0.005893524995930267","0.005893524995930267"
"17","0.025373323756256592","0.025373323756256592","0.025373323756256592","0.009300790072850944","0.009300790072850944","0.009300790072850944","0.009244031823014268","0.009244031823014268","0.009244031823014268","0.007126565806063278","0.007126565806063278","0.007126565806063278","0.01288419742988699","0.01288419742988699","0.01288419742988699","0.00004734630485592688","0.00004734630485592688","0.00004734630485592688","0.0000805525167482956","0.0000805525167482956","0.0000805525167482956","0.016476418560381734","0.016476418560381734","0.016476418560381734","0.016707179860679287","0.016707179860679287","0.016707179860679287","0.007793597811018475","0.007793597811018475","0.007793597811018475","0.010718671630325282","0.010718671630325282","0.010718671630325282","0.018320437016876544","0.018320437016876544","0.018320437016876544","0.011692857352835177","0.011692857352835177","0.011692857352835177","0.00006783702522885509","0.00006783702522885509","0.00006783702522885509","0.010146771801674209","0.010146771801674209","0.010146771801674209"
"18","0.023376942141743875","0.023376942141743875","0.023376942141743875","0.007205239545175486","0.007205239545175486","0.007205239545175486","0.0051818268826688664","0.0051818268826688664","0.0051818268826688664","0.019324863563189007","0.019324863563189007","0.019324863563189007","0.029766748084355366","0.029766748084355366","0.029766748084355366","0.00007791206543138429","0.00007791206543138429","0.00007791206543138429","0.00014614802748812015","0.00014614802748812015","0.00014614802748812015","0.010506211772324801","0.010506211772324801","0.010506211772324801","0.011154956837153285","0.011154956837153285","0.011154956837153285","0.010849517499268211","0.010849517499268211","0.010849517499268211","0.009830412172175259","0.009830412172175259","0.009830412172175259","0.00788568362967671","0.00788568362967671","0.00788568362967671","0.011628347819246368","0.011628347819246368","0.011628347819246368","0.00006902634583015821","0.00006902634583015821","0.00006902634583015821","0.01522584933790328","0.01522584933790328","0.01522584933790328"
"19","0.012622202486282097","0.012622202486282097","0.012622202486282097","0.0055948065042034905","0.0055948065042034905","0.0055948065042034905","0.005358877773195125","0.005358877773195125","0.005358877773195125","0.025447988140973602","0.025447988140973602","0.025447988140973602","0.02415675897883178","0.02415675897883178","0.02415675897883178","0.00009402234527010897","0.00009402234527010897","0.00009402234527010897","0.00020036372666920103","0.00020036372666920103","0.00020036372666920103","0.013757809873363303","0.013757809873363303","0.013757809873363303","0.02400392046968869","0.02400392046968869","0.02400392046968869","0.005654951792467993","0.005654951792467993","0.005654951792467993","0.03658116420799629","0.03658116420799629","0.03658116420799629","0.008187936502889947","0.008187936502889947","0.008187936502889947","0.016680350664207557","0.016680350664207557","0.016680350664207557","0.00008301648851856294","0.00008301648851856294","0.00008301648851856294","0.005544877146628096","0.005544877146628096","0.005544877146628096"
