"Step","_n_S_512_e500_b16_lr0.01_2 (S) - metrics/mAP_0.5","_n_S_512_e500_b16_lr0.01_2 (S) - metrics/mAP_0.5__MIN","_n_S_512_e500_b16_lr0.01_2 (S) - metrics/mAP_0.5__MAX","_n_S_512_e500_b16_lr0.01_3 (S) - metrics/mAP_0.5","_n_S_512_e500_b16_lr0.01_3 (S) - metrics/mAP_0.5__MIN","_n_S_512_e500_b16_lr0.01_3 (S) - metrics/mAP_0.5__MAX","_n_S_512_e500_b16_lr0.01_1 (S) - metrics/mAP_0.5","_n_S_512_e500_b16_lr0.01_1 (S) - metrics/mAP_0.5__MIN","_n_S_512_e500_b16_lr0.01_1 (S) - metrics/mAP_0.5__MAX","_n_N_512_e500_b16_lr0.01_3 (N) - metrics/mAP_0.5","_n_N_512_e500_b16_lr0.01_3 (N) - metrics/mAP_0.5__MIN","_n_N_512_e500_b16_lr0.01_3 (N) - metrics/mAP_0.5__MAX","_n_N_512_e500_b16_lr0.01_2 (N) - metrics/mAP_0.5","_n_N_512_e500_b16_lr0.01_2 (N) - metrics/mAP_0.5__MIN","_n_N_512_e500_b16_lr0.01_2 (N) - metrics/mAP_0.5__MAX","_n_N_512_e500_b16_lr0.01_1 (N) - metrics/mAP_0.5","_n_N_512_e500_b16_lr0.01_1 (N) - metrics/mAP_0.5__MIN","_n_N_512_e500_b16_lr0.01_1 (N) - metrics/mAP_0.5__MAX","_n_M_512_e500_b16_lr0.01_3 (M) - metrics/mAP_0.5","_n_M_512_e500_b16_lr0.01_3 (M) - metrics/mAP_0.5__MIN","_n_M_512_e500_b16_lr0.01_3 (M) - metrics/mAP_0.5__MAX","_n_M_512_e500_b16_lr0.01_2 (M) - metrics/mAP_0.5","_n_M_512_e500_b16_lr0.01_2 (M) - metrics/mAP_0.5__MIN","_n_M_512_e500_b16_lr0.01_2 (M) - metrics/mAP_0.5__MAX","_n_M_512_e500_b16_lr0.01_1 (M) - metrics/mAP_0.5","_n_M_512_e500_b16_lr0.01_1 (M) - metrics/mAP_0.5__MIN","_n_M_512_e500_b16_lr0.01_1 (M) - metrics/mAP_0.5__MAX","_n_L_512_e500_b16_lr0.01_3 (L) - metrics/mAP_0.5","_n_L_512_e500_b16_lr0.01_3 (L) - metrics/mAP_0.5__MIN","_n_L_512_e500_b16_lr0.01_3 (L) - metrics/mAP_0.5__MAX","_n_L_512_e500_b16_lr0.01_2 (L) - metrics/mAP_0.5","_n_L_512_e500_b16_lr0.01_2 (L) - metrics/mAP_0.5__MIN","_n_L_512_e500_b16_lr0.01_2 (L) - metrics/mAP_0.5__MAX","_n_L_512_e500_b16_lr0.01_1 (L) - metrics/mAP_0.5","_n_L_512_e500_b16_lr0.01_1 (L) - metrics/mAP_0.5__MIN","_n_L_512_e500_b16_lr0.01_1 (L) - metrics/mAP_0.5__MAX","_n_X_512_e500_b16_lr0.01_3 (X) - metrics/mAP_0.5","_n_X_512_e500_b16_lr0.01_3 (X) - metrics/mAP_0.5__MIN","_n_X_512_e500_b16_lr0.01_3 (X) - metrics/mAP_0.5__MAX","_n_X_512_e500_b16_lr0.01_2 (X) - metrics/mAP_0.5","_n_X_512_e500_b16_lr0.01_2 (X) - metrics/mAP_0.5__MIN","_n_X_512_e500_b16_lr0.01_2 (X) - metrics/mAP_0.5__MAX","_n_X_512_e500_b16_lr0.01_1 (X) - metrics/mAP_0.5","_n_X_512_e500_b16_lr0.01_1 (X) - metrics/mAP_0.5__MIN","_n_X_512_e500_b16_lr0.01_1 (X) - metrics/mAP_0.5__MAX"
"10","0.005430542021725963","0.005430542021725963","0.005430542021725963","0.007148671238579813","0.007148671238579813","0.007148671238579813","0.012574602519590325","0.012574602519590325","0.012574602519590325","0.001124932397216256","0.001124932397216256","0.001124932397216256","0.00022768907673282156","0.00022768907673282156","0.00022768907673282156","0.0005122722062187198","0.00035497223918972516","0.0006695721732477144","0.00035017344531199546","0.00035017344531199546","0.00035017344531199546","0.0146430019307908","0.0146430019307908","0.0146430019307908","0.0073570474148061055","0.0073570474148061055","0.0073570474148061055","0.00606456052397767","0.00606456052397767","0.00606456052397767","0.004936253644794294","0.004936253644794294","0.004936253644794294","0.012217538968436172","0.012217538968436172","0.012217538968436172","0.0176465179368748","0.0176465179368748","0.0176465179368748","0.010871007691364367","0.010871007691364367","0.010871007691364367","0.002412461107699427","0.002412461107699427","0.002412461107699427"
"11","0.0012093761361663296","0.0012093761361663296","0.0012093761361663296","0.0038345760023690023","0.0038345760023690023","0.0038345760023690023","0.007262111932835638","0.007262111932835638","0.007262111932835638","0.0003995628394932716","0.0003995628394932716","0.0003995628394932716","0.0006293030803837085","0.0006293030803837085","0.0006293030803837085","0.000719487281660798","0.0004931219673895813","0.0009458525959320145","0.0021332252002764043","0.0021332252002764043","0.0021332252002764043","0.005782988477317104","0.005782988477317104","0.005782988477317104","0.009340823610451812","0.009340823610451812","0.009340823610451812","0.00378441048253092","0.00378441048253092","0.00378441048253092","0.0002507314082709667","0.0002507314082709667","0.0002507314082709667","0.01013973685620429","0.01013973685620429","0.01013973685620429","0.007504885188286791","0.007504885188286791","0.007504885188286791","0.0014197325615058825","0.0014197325615058825","0.0014197325615058825","0.0037235322065330275","0.0037235322065330275","0.0037235322065330275"
"12","0.007321475096698781","0.007321475096698781","0.007321475096698781","0.022670275950828263","0.022670275950828263","0.022670275950828263","0.007682904888001553","0.007682904888001553","0.007682904888001553","0.0016250893506857792","0.0016250893506857792","0.0016250893506857792","0.00040446960693147754","0.00040446960693147754","0.00040446960693147754","0.0029662741696122276","0.002104414907405465","0.0038281334318189903","0.00039362537464946975","0.00039362537464946975","0.00039362537464946975","0.00474791543272013","0.00474791543272013","0.00474791543272013","0.004690951515254737","0.004690951515254737","0.004690951515254737","0.006096875264002667","0.006096875264002667","0.006096875264002667","0.003861106624562196","0.003861106624562196","0.003861106624562196","0.010865663150166061","0.010865663150166061","0.010865663150166061","0.016894085217735555","0.016894085217735555","0.016894085217735555","0.01275507002656629","0.01275507002656629","0.01275507002656629","0.00638968689404599","0.00638968689404599","0.00638968689404599"
"13","0.0015079853878680449","0.0015079853878680449","0.0015079853878680449","0.009764301596838519","0.009764301596838519","0.009764301596838519","0.006497183152696926","0.006497183152696926","0.006497183152696926","0.004602146095292576","0.004602146095292576","0.004602146095292576","0.0007675346587337726","0.0007675346587337726","0.0007675346587337726","0.004718823461274575","0.0012178193683421777","0.008219827554206973","0.0006548190620353192","0.0006548190620353192","0.0006548190620353192","0.018416751266214722","0.018416751266214722","0.018416751266214722","0.006848486112494339","0.006848486112494339","0.006848486112494339","0.010022067772990776","0.010022067772990776","0.010022067772990776","0.012150695441193808","0.012150695441193808","0.012150695441193808","0.009159992350200022","0.009159992350200022","0.009159992350200022","0.023153678110564763","0.023153678110564763","0.023153678110564763","0.007782710251544244","0.007782710251544244","0.007782710251544244","0.002336936928000204","0.002336936928000204","0.002336936928000204"
"14","0.02989660098163562","0.02989660098163562","0.02989660098163562","0.005895216780564922","0.005895216780564922","0.005895216780564922","0.027002833289525963","0.027002833289525963","0.027002833289525963","0.008455276637342121","0.008455276637342121","0.008455276637342121","0.006973677048379508","0.006973677048379508","0.006973677048379508","0.007100796072878239","0.005057914993062568","0.00914367715269391","0.0012017805905531493","0.0012017805905531493","0.0012017805905531493","0.0037882547179610036","0.0037882547179610036","0.0037882547179610036","0.0034720540578083584","0.0034720540578083584","0.0034720540578083584","0.010357842487761","0.010357842487761","0.010357842487761","0.005180937055561494","0.005180937055561494","0.005180937055561494","0.004356976143576133","0.004356976143576133","0.004356976143576133","0.005283504445182591","0.005283504445182591","0.005283504445182591","0.003644599161201213","0.003644599161201213","0.003644599161201213","0.0078118111670668535","0.0078118111670668535","0.0078118111670668535"
"15","0.02555812791725303","0.02555812791725303","0.02555812791725303","0.008157160449466672","0.008157160449466672","0.008157160449466672","0.013099093673293148","0.013099093673293148","0.013099093673293148","0.005221755545105887","0.005221755545105887","0.005221755545105887","0.003279573084484127","0.003279573084484127","0.003279573084484127","0.014030381917286177","0.001415981837745268","0.026644781996827085","0.007049118659163925","0.007049118659163925","0.007049118659163925","0.0027810140328820027","0.0027810140328820027","0.0027810140328820027","0.007200589744300527","0.007200589744300527","0.007200589744300527","0.011406396205004823","0.011406396205004823","0.011406396205004823","0.0072694457070130135","0.0072694457070130135","0.0072694457070130135","0.010656122573456415","0.010656122573456415","0.010656122573456415","0.0028632007191967657","0.0028632007191967657","0.0028632007191967657","0.004397981453256556","0.004397981453256556","0.004397981453256556","0.00425154964975721","0.00425154964975721","0.00425154964975721"
"16","0.038151336199396105","0.038151336199396105","0.038151336199396105","0.019137012837185916","0.019137012837185916","0.019137012837185916","0.017665911800616635","0.017665911800616635","0.017665911800616635","0.004548751491682825","0.004548751491682825","0.004548751491682825","0.0010457255027671241","0.0010457255027671241","0.0010457255027671241","0.0040289934381476855","0.002327883289434943","0.005730103586860429","0.002074848818050632","0.002074848818050632","0.002074848818050632","0.011128246880839432","0.011128246880839432","0.011128246880839432","0.005893524995930267","0.005893524995930267","0.005893524995930267","0.011746393909206797","0.011746393909206797","0.011746393909206797","0.0325444523454964","0.0325444523454964","0.0325444523454964","0.027441536107182442","0.027441536107182442","0.027441536107182442","0.0013718317348189572","0.0013718317348189572","0.0013718317348189572","0","0","0","0.005087510088204024","0.005087510088204024","0.005087510088204024"
"17","0.024345153902906414","0.024345153902906414","0.024345153902906414","0.014157609288622863","0.014157609288622863","0.014157609288622863","0.020341525746621174","0.020341525746621174","0.020341525746621174","0.010280760859223336","0.010280760859223336","0.010280760859223336","0.0023549398210846056","0.0023549398210846056","0.0023549398210846056","0.005030823966720657","0.004719747046453823","0.00534190088698749","0.007793597811018475","0.007793597811018475","0.007793597811018475","0.010718671630325282","0.010718671630325282","0.010718671630325282","0.010146771801674209","0.010146771801674209","0.010146771801674209","0.019449700807108644","0.019449700807108644","0.019449700807108644","0.010551078471718729","0.010551078471718729","0.010551078471718729","0.037080589808626434","0.037080589808626434","0.037080589808626434","0.0077700823287599925","0.0077700823287599925","0.0077700823287599925","0.002701435794451531","0.002701435794451531","0.002701435794451531","0.001106333707176139","0.001106333707176139","0.001106333707176139"
"18","0.009656538729283886","0.009656538729283886","0.009656538729283886","0.022329394310822873","0.022329394310822873","0.022329394310822873","0.007999144116664282","0.007999144116664282","0.007999144116664282","0.011666347749301163","0.011666347749301163","0.011666347749301163","0.014562912642626609","0.014562912642626609","0.014562912642626609","0.0069533312994799965","0.004282190949959249","0.009624471649000745","0.010849517499268211","0.010849517499268211","0.010849517499268211","0.009830412172175259","0.009830412172175259","0.009830412172175259","0.01522584933790328","0.01522584933790328","0.01522584933790328","0.033835205073455554","0.033835205073455554","0.033835205073455554","0.004780335156810408","0.004780335156810408","0.004780335156810408","0.02462487911247124","0.02462487911247124","0.02462487911247124","0.022974799501993375","0.022974799501993375","0.022974799501993375","0.0058328745849408545","0.0058328745849408545","0.0058328745849408545","0.01350184068908399","0.01350184068908399","0.01350184068908399"
"19","0.011342146407658533","0.011342146407658533","0.011342146407658533","0.005747629371365558","0.005747629371365558","0.005747629371365558","0.002863305797823981","0.002863305797823981","0.002863305797823981","0.01446870641574013","0.01446870641574013","0.01446870641574013","0.0019612107684011675","0.0019612107684011675","0.0019612107684011675","0.011741483810325552","0.0022598608828751877","0.021223106737775915","0.005654951792467993","0.005654951792467993","0.005654951792467993","0.03658116420799629","0.03658116420799629","0.03658116420799629","0.005544877146628096","0.005544877146628096","0.005544877146628096","0.03509121970270461","0.03509121970270461","0.03509121970270461","0.006993356957316208","0.006993356957316208","0.006993356957316208","0.02006257890767685","0.02006257890767685","0.02006257890767685","0.004576895357205613","0.004576895357205613","0.004576895357205613","0.009045916199431198","0.009045916199431198","0.009045916199431198","0.00924383860745788","0.00924383860745788","0.00924383860745788"
