"Step","_n_M_512_e500_b64_lr0.01_3 - metrics/mAP_0.5","_n_M_512_e500_b64_lr0.01_3 - metrics/mAP_0.5__MIN","_n_M_512_e500_b64_lr0.01_3 - metrics/mAP_0.5__MAX","_n_M_512_e500_b64_lr0.01_2 - metrics/mAP_0.5","_n_M_512_e500_b64_lr0.01_2 - metrics/mAP_0.5__MIN","_n_M_512_e500_b64_lr0.01_2 - metrics/mAP_0.5__MAX","_n_M_512_e500_b32_lr0.01_3 - metrics/mAP_0.5","_n_M_512_e500_b32_lr0.01_3 - metrics/mAP_0.5__MIN","_n_M_512_e500_b32_lr0.01_3 - metrics/mAP_0.5__MAX","_n_M_512_e500_b32_lr0.01_2 - metrics/mAP_0.5","_n_M_512_e500_b32_lr0.01_2 - metrics/mAP_0.5__MIN","_n_M_512_e500_b32_lr0.01_2 - metrics/mAP_0.5__MAX","_n_M_512_e500_b16_lr0.01_3 - metrics/mAP_0.5","_n_M_512_e500_b16_lr0.01_3 - metrics/mAP_0.5__MIN","_n_M_512_e500_b16_lr0.01_3 - metrics/mAP_0.5__MAX","_n_M_512_e500_b16_lr0.01_2 - metrics/mAP_0.5","_n_M_512_e500_b16_lr0.01_2 - metrics/mAP_0.5__MIN","_n_M_512_e500_b16_lr0.01_2 - metrics/mAP_0.5__MAX","_n_M_512_e500_b64_lr0.01_1 - metrics/mAP_0.5","_n_M_512_e500_b64_lr0.01_1 - metrics/mAP_0.5__MIN","_n_M_512_e500_b64_lr0.01_1 - metrics/mAP_0.5__MAX","_n_M_512_e500_b32_lr0.01_1 - metrics/mAP_0.5","_n_M_512_e500_b32_lr0.01_1 - metrics/mAP_0.5__MIN","_n_M_512_e500_b32_lr0.01_1 - metrics/mAP_0.5__MAX","_n_M_512_e500_b16_lr0.01_1 - metrics/mAP_0.5","_n_M_512_e500_b16_lr0.01_1 - metrics/mAP_0.5__MIN","_n_M_512_e500_b16_lr0.01_1 - metrics/mAP_0.5__MAX"
"10","0.0004801993532849367","0.0004801993532849367","0.0004801993532849367","0.0009939971774755342","0.0009939971774755342","0.0009939971774755342","0.00009451516378986542","0.00009451516378986542","0.00009451516378986542","0.00018341006293044892","0.00018341006293044892","0.00018341006293044892","0.008207031633400681","0.008207031633400681","0.008207031633400681","0.006517023737054289","0.006517023737054289","0.006517023737054289","0.0011334230724225607","0.0011334230724225607","0.0011334230724225607","0.0016049241447181626","0.0016049241447181626","0.0016049241447181626","0.0073570474148061055","0.0073570474148061055","0.0073570474148061055"
"11","0.00016827426127038436","0.00016827426127038436","0.00016827426127038436","0.0014286856549753783","0.0014286856549753783","0.0014286856549753783","0.005627927781648281","0.005627927781648281","0.005627927781648281","0.0006992776668240528","0.0006992776668240528","0.0006992776668240528","0.002275861952147358","0.002275861952147358","0.002275861952147358","0.014373464850759972","0.014373464850759972","0.014373464850759972","0.0004332487081926276","0.0004332487081926276","0.0004332487081926276","0.0006832464348708937","0.0006832464348708937","0.0006832464348708937","0.009340823610451812","0.009340823610451812","0.009340823610451812"
"12","0.0007621239753661345","0.0007621239753661345","0.0007621239753661345","0.0015139769321403187","0.0015139769321403187","0.0015139769321403187","0.003013161570878737","0.003013161570878737","0.003013161570878737","0","0","0","0.0026520453674962","0.0026520453674962","0.0026520453674962","0.005943350391004187","0.005943350391004187","0.005943350391004187","0.00015212323859093333","0.00015212323859093333","0.00015212323859093333","0.0012781158981075356","0.0012781158981075356","0.0012781158981075356","0.004690951515254737","0.004690951515254737","0.004690951515254737"
"13","0.0025164775946862296","0.0025164775946862296","0.0025164775946862296","0.00200696038605656","0.00200696038605656","0.00200696038605656","0.002031826528306793","0.002031826528306793","0.002031826528306793","0.0011080111530704375","0.0011080111530704375","0.0011080111530704375","0.03463885458983881","0.03463885458983881","0.03463885458983881","0.012220119002468202","0.012220119002468202","0.012220119002468202","0.0022775862370948722","0.0022775862370948722","0.0022775862370948722","0.0080841545002123","0.0080841545002123","0.0080841545002123","0.006848486112494339","0.006848486112494339","0.006848486112494339"
"14","0.004484423716897358","0.004484423716897358","0.004484423716897358","0.003055422870989153","0.003055422870989153","0.003055422870989153","0.005129844769891794","0.005129844769891794","0.005129844769891794","0.001089182947912503","0.001089182947912503","0.001089182947912503","0.002390504176335599","0.002390504176335599","0.002390504176335599","0.00864816977297567","0.00864816977297567","0.00864816977297567","0.0050830066263945674","0.0050830066263945674","0.0050830066263945674","0.0032711495760807596","0.0032711495760807596","0.0032711495760807596","0.0034720540578083584","0.0034720540578083584","0.0034720540578083584"
"15","0.0003438173464185792","0.0003438173464185792","0.0003438173464185792","0.003724873131650694","0.003724873131650694","0.003724873131650694","0.008042499458945812","0.008042499458945812","0.008042499458945812","0.0035918926849030607","0.0035918926849030607","0.0035918926849030607","0.009976966503586896","0.009976966503586896","0.009976966503586896","0.010711253953924344","0.010711253953924344","0.010711253953924344","0.001322204037411177","0.001322204037411177","0.001322204037411177","0.009641439096187449","0.009641439096187449","0.009641439096187449","0.007200589744300527","0.007200589744300527","0.007200589744300527"
"16","0.0034243553643014124","0.0034243553643014124","0.0034243553643014124","0.0032492112529439216","0.0032492112529439216","0.0032492112529439216","0.004203507565244515","0.004203507565244515","0.004203507565244515","0.002997289863907696","0.002997289863907696","0.002997289863907696","0.011049141822405005","0.011049141822405005","0.011049141822405005","0.009074442200727166","0.009074442200727166","0.009074442200727166","0.0009906482821323956","0.0009906482821323956","0.0009906482821323956","0.007352293552703562","0.007352293552703562","0.007352293552703562","0.005893524995930267","0.005893524995930267","0.005893524995930267"
"17","0.007720861425593406","0.007720861425593406","0.007720861425593406","0.001935672629711377","0.001935672629711377","0.001935672629711377","0.007026854927687232","0.007026854927687232","0.007026854927687232","0.011749469966026974","0.011749469966026974","0.011749469966026974","0.011725950350744318","0.011725950350744318","0.011725950350744318","0.007413112464646222","0.007413112464646222","0.007413112464646222","0.0018142870770921124","0.0018142870770921124","0.0018142870770921124","0.004366869318570318","0.004366869318570318","0.004366869318570318","0.010146771801674209","0.010146771801674209","0.010146771801674209"
"18","0.0009059773903768735","0.0009059773903768735","0.0009059773903768735","0.000012686903825106432","0.000012686903825106432","0.000012686903825106432","0.0024017151902118836","0.0024017151902118836","0.0024017151902118836","0.005506722073772916","0.005506722073772916","0.005506722073772916","0.008176874750905803","0.008176874750905803","0.008176874750905803","0.010358161986553645","0.010358161986553645","0.010358161986553645","0.001064520024526629","0.001064520024526629","0.001064520024526629","0.003268912029381084","0.003268912029381084","0.003268912029381084","0.01522584933790328","0.01522584933790328","0.01522584933790328"
"19","0.009443784048238202","0.009443784048238202","0.009443784048238202","0.0012500481565162582","0.0012500481565162582","0.0012500481565162582","0.006155178199463912","0.006155178199463912","0.006155178199463912","0.00503831621457667","0.00503831621457667","0.00503831621457667","0.025935237778452885","0.025935237778452885","0.025935237778452885","0.010873301242209577","0.010873301242209577","0.010873301242209577","0.002273996756402721","0.002273996756402721","0.002273996756402721","0.003103080771293392","0.003103080771293392","0.003103080771293392","0.005544877146628096","0.005544877146628096","0.005544877146628096"
