"Step","_n_S_512_e500_b16_lr0.01_1 (Arch-P5) - metrics/mAP_0.5","_n_S_512_e500_b16_lr0.01_1 (Arch-P5) - metrics/mAP_0.5__MIN","_n_S_512_e500_b16_lr0.01_1 (Arch-P5) - metrics/mAP_0.5__MAX","_n_X_512_e500_b16_lr0.01_1 (Arch-P5) - metrics/mAP_0.5","_n_X_512_e500_b16_lr0.01_1 (Arch-P5) - metrics/mAP_0.5__MIN","_n_X_512_e500_b16_lr0.01_1 (Arch-P5) - metrics/mAP_0.5__MAX","_n_L_512_e500_b16_lr0.01_1 (Arch-P5) - metrics/mAP_0.5","_n_L_512_e500_b16_lr0.01_1 (Arch-P5) - metrics/mAP_0.5__MIN","_n_L_512_e500_b16_lr0.01_1 (Arch-P5) - metrics/mAP_0.5__MAX","_n_N_512_e500_b16_lr0.01_1 (Arch-P5) - metrics/mAP_0.5","_n_N_512_e500_b16_lr0.01_1 (Arch-P5) - metrics/mAP_0.5__MIN","_n_N_512_e500_b16_lr0.01_1 (Arch-P5) - metrics/mAP_0.5__MAX","_n_M_512_e500_b16_lr0.01_1 (Arch-P5) - metrics/mAP_0.5","_n_M_512_e500_b16_lr0.01_1 (Arch-P5) - metrics/mAP_0.5__MIN","_n_M_512_e500_b16_lr0.01_1 (Arch-P5) - metrics/mAP_0.5__MAX","_n_L6_512_e500_b16_lr0.01_1 (Arch-P6) - metrics/mAP_0.5","_n_L6_512_e500_b16_lr0.01_1 (Arch-P6) - metrics/mAP_0.5__MIN","_n_L6_512_e500_b16_lr0.01_1 (Arch-P6) - metrics/mAP_0.5__MAX","_n_M6_512_e500_b16_lr0.01_1 (Arch-P6) - metrics/mAP_0.5","_n_M6_512_e500_b16_lr0.01_1 (Arch-P6) - metrics/mAP_0.5__MIN","_n_M6_512_e500_b16_lr0.01_1 (Arch-P6) - metrics/mAP_0.5__MAX","_n_X6_512_e500_b16_lr0.01_1 (Arch-P6) - metrics/mAP_0.5","_n_X6_512_e500_b16_lr0.01_1 (Arch-P6) - metrics/mAP_0.5__MIN","_n_X6_512_e500_b16_lr0.01_1 (Arch-P6) - metrics/mAP_0.5__MAX","_n_S6_512_e500_b16_lr0.01_1 (Arch-P6) - metrics/mAP_0.5","_n_S6_512_e500_b16_lr0.01_1 (Arch-P6) - metrics/mAP_0.5__MIN","_n_S6_512_e500_b16_lr0.01_1 (Arch-P6) - metrics/mAP_0.5__MAX","_n_N6_512_e500_b16_lr0.01_1 (Arch-P6) - metrics/mAP_0.5","_n_N6_512_e500_b16_lr0.01_1 (Arch-P6) - metrics/mAP_0.5__MIN","_n_N6_512_e500_b16_lr0.01_1 (Arch-P6) - metrics/mAP_0.5__MAX"
"10","0.012574602519590325","0.012574602519590325","0.012574602519590325","0.002412461107699427","0.002412461107699427","0.002412461107699427","0.012217538968436172","0.012217538968436172","0.012217538968436172","0.00035497223918972516","0.00035497223918972516","0.00035497223918972516","0.0073570474148061055","0.0073570474148061055","0.0073570474148061055","0.0024743987939780956","0.0024743987939780956","0.0024743987939780956","0.0077419461571661095","0.0077419461571661095","0.0077419461571661095","0.0034641248629720244","0.0034641248629720244","0.0034641248629720244","0.008929460264560055","0.008929460264560055","0.008929460264560055","0.004430794312587362","0.004430794312587362","0.004430794312587362"
"11","0.007262111932835638","0.007262111932835638","0.007262111932835638","0.0037235322065330275","0.0037235322065330275","0.0037235322065330275","0.01013973685620429","0.01013973685620429","0.01013973685620429","0.0004931219673895813","0.0004931219673895813","0.0004931219673895813","0.009340823610451812","0.009340823610451812","0.009340823610451812","0.008857136782049586","0.008857136782049586","0.008857136782049586","0.0010600018197503987","0.0010600018197503987","0.0010600018197503987","0.00528722966058659","0.00528722966058659","0.00528722966058659","0.005619270008101239","0.005619270008101239","0.005619270008101239","0.0026947886282184075","0.0026947886282184075","0.0026947886282184075"
"12","0.007682904888001553","0.007682904888001553","0.007682904888001553","0.00638968689404599","0.00638968689404599","0.00638968689404599","0.010865663150166061","0.010865663150166061","0.010865663150166061","0.002104414907405465","0.002104414907405465","0.002104414907405465","0.004690951515254737","0.004690951515254737","0.004690951515254737","0.008795652063430047","0.008795652063430047","0.008795652063430047","0.0023524328519641015","0.0023524328519641015","0.0023524328519641015","0.0027076071990875263","0.0027076071990875263","0.0027076071990875263","0.0007386919778975854","0.0007386919778975854","0.0007386919778975854","0.0032920872069271286","0.0032920872069271286","0.0032920872069271286"
"13","0.006497183152696926","0.006497183152696926","0.006497183152696926","0.002336936928000204","0.002336936928000204","0.002336936928000204","0.009159992350200022","0.009159992350200022","0.009159992350200022","0.0012178193683421777","0.0012178193683421777","0.0012178193683421777","0.006848486112494339","0.006848486112494339","0.006848486112494339","0.004950032885512621","0.004950032885512621","0.004950032885512621","0.003709268741653498","0.003709268741653498","0.003709268741653498","0.00545329464428748","0.00545329464428748","0.00545329464428748","0.013513608680807702","0.013513608680807702","0.013513608680807702","0.009434484086293823","0.009434484086293823","0.009434484086293823"
"14","0.027002833289525963","0.027002833289525963","0.027002833289525963","0.0078118111670668535","0.0078118111670668535","0.0078118111670668535","0.004356976143576133","0.004356976143576133","0.004356976143576133","0.00914367715269391","0.00914367715269391","0.00914367715269391","0.0034720540578083584","0.0034720540578083584","0.0034720540578083584","0.00487726330859307","0.00487726330859307","0.00487726330859307","0.003144901864477911","0.003144901864477911","0.003144901864477911","0.009390466256892742","0.009390466256892742","0.009390466256892742","0.012596764980704432","0.012596764980704432","0.012596764980704432","0.009816082573456564","0.009816082573456564","0.009816082573456564"
"15","0.013099093673293148","0.013099093673293148","0.013099093673293148","0.00425154964975721","0.00425154964975721","0.00425154964975721","0.010656122573456415","0.010656122573456415","0.010656122573456415","0.026644781996827085","0.026644781996827085","0.026644781996827085","0.007200589744300527","0.007200589744300527","0.007200589744300527","0.002215176061164219","0.002215176061164219","0.002215176061164219","0.0037015027748316005","0.0037015027748316005","0.0037015027748316005","0.0061122483216847125","0.0061122483216847125","0.0061122483216847125","0.0141925998068961","0.0141925998068961","0.0141925998068961","0.003188492692068414","0.003188492692068414","0.003188492692068414"
"16","0.017665911800616635","0.017665911800616635","0.017665911800616635","0.005087510088204024","0.005087510088204024","0.005087510088204024","0.027441536107182442","0.027441536107182442","0.027441536107182442","0.002327883289434943","0.002327883289434943","0.002327883289434943","0.005893524995930267","0.005893524995930267","0.005893524995930267","0.003413273791336225","0.003413273791336225","0.003413273791336225","0.008972995069288656","0.008972995069288656","0.008972995069288656","0.008725784204044082","0.008725784204044082","0.008725784204044082","0.0074227711836773","0.0074227711836773","0.0074227711836773","0.012322623610129787","0.012322623610129787","0.012322623610129787"
"17","0.020341525746621174","0.020341525746621174","0.020341525746621174","0.001106333707176139","0.001106333707176139","0.001106333707176139","0.037080589808626434","0.037080589808626434","0.037080589808626434","0.00534190088698749","0.00534190088698749","0.00534190088698749","0.010146771801674209","0.010146771801674209","0.010146771801674209","0.004765016339877963","0.004765016339877963","0.004765016339877963","0.006707000548251666","0.006707000548251666","0.006707000548251666","0.012266185996428135","0.012266185996428135","0.012266185996428135","0.00581167856885787","0.00581167856885787","0.00581167856885787","0.011693060813450002","0.011693060813450002","0.011693060813450002"
"18","0.007999144116664282","0.007999144116664282","0.007999144116664282","0.01350184068908399","0.01350184068908399","0.01350184068908399","0.02462487911247124","0.02462487911247124","0.02462487911247124","0.004282190949959249","0.004282190949959249","0.004282190949959249","0.01522584933790328","0.01522584933790328","0.01522584933790328","0.0043074841116525625","0.0043074841116525625","0.0043074841116525625","0.007838482667232432","0.007838482667232432","0.007838482667232432","0.016625924357253904","0.016625924357253904","0.016625924357253904","0.01594129807078187","0.01594129807078187","0.01594129807078187","0.006542117471728124","0.006542117471728124","0.006542117471728124"
"19","0.002863305797823981","0.002863305797823981","0.002863305797823981","0.00924383860745788","0.00924383860745788","0.00924383860745788","0.02006257890767685","0.02006257890767685","0.02006257890767685","0.021223106737775915","0.021223106737775915","0.021223106737775915","0.005544877146628096","0.005544877146628096","0.005544877146628096","0.006784128763725148","0.006784128763725148","0.006784128763725148","0.011735242690671659","0.011735242690671659","0.011735242690671659","0.012054875270421728","0.012054875270421728","0.012054875270421728","0.04452763393401078","0.04452763393401078","0.04452763393401078","0.007681116670012645","0.007681116670012645","0.007681116670012645"
