"Step","_n_S_512_e500_b16_lr0.01_1 (512) - metrics/mAP_0.5","_n_S_512_e500_b16_lr0.01_1 (512) - metrics/mAP_0.5__MIN","_n_S_512_e500_b16_lr0.01_1 (512) - metrics/mAP_0.5__MAX","_n_X_512_e500_b16_lr0.01_1 (512) - metrics/mAP_0.5","_n_X_512_e500_b16_lr0.01_1 (512) - metrics/mAP_0.5__MIN","_n_X_512_e500_b16_lr0.01_1 (512) - metrics/mAP_0.5__MAX","_n_L_512_e500_b16_lr0.01_1 (512) - metrics/mAP_0.5","_n_L_512_e500_b16_lr0.01_1 (512) - metrics/mAP_0.5__MIN","_n_L_512_e500_b16_lr0.01_1 (512) - metrics/mAP_0.5__MAX","_n_N_512_e500_b16_lr0.01_1 (512) - metrics/mAP_0.5","_n_N_512_e500_b16_lr0.01_1 (512) - metrics/mAP_0.5__MIN","_n_N_512_e500_b16_lr0.01_1 (512) - metrics/mAP_0.5__MAX","_n_M_512_e500_b16_lr0.01_1 (512) - metrics/mAP_0.5","_n_M_512_e500_b16_lr0.01_1 (512) - metrics/mAP_0.5__MIN","_n_M_512_e500_b16_lr0.01_1 (512) - metrics/mAP_0.5__MAX","_n_X_1024_e500_b8_lr0.01_1 (1024) - metrics/mAP_0.5","_n_X_1024_e500_b8_lr0.01_1 (1024) - metrics/mAP_0.5__MIN","_n_X_1024_e500_b8_lr0.01_1 (1024) - metrics/mAP_0.5__MAX","_n_L_1024_e500_b16_lr0.01_1 (1024) - metrics/mAP_0.5","_n_L_1024_e500_b16_lr0.01_1 (1024) - metrics/mAP_0.5__MIN","_n_L_1024_e500_b16_lr0.01_1 (1024) - metrics/mAP_0.5__MAX","_n_S_1024_e500_b16_lr0.01_1 (1024) - metrics/mAP_0.5","_n_S_1024_e500_b16_lr0.01_1 (1024) - metrics/mAP_0.5__MIN","_n_S_1024_e500_b16_lr0.01_1 (1024) - metrics/mAP_0.5__MAX","_n_M_1024_e500_b16_lr0.01_1 (1024) - metrics/mAP_0.5","_n_M_1024_e500_b16_lr0.01_1 (1024) - metrics/mAP_0.5__MIN","_n_M_1024_e500_b16_lr0.01_1 (1024) - metrics/mAP_0.5__MAX","_n_N_1024_e500_b16_lr0.01_1 (1024) - metrics/mAP_0.5","_n_N_1024_e500_b16_lr0.01_1 (1024) - metrics/mAP_0.5__MIN","_n_N_1024_e500_b16_lr0.01_1 (1024) - metrics/mAP_0.5__MAX"
"10","0.012574602519590325","0.012574602519590325","0.012574602519590325","0.002412461107699427","0.002412461107699427","0.002412461107699427","0.012217538968436172","0.012217538968436172","0.012217538968436172","0.00035497223918972516","0.00035497223918972516","0.00035497223918972516","0.0073570474148061055","0.0073570474148061055","0.0073570474148061055","0.039143675213781925","0.039143675213781925","0.039143675213781925","0.00439471485361819","0.00439471485361819","0.00439471485361819","0.0008625230525195753","0.0008625230525195753","0.0008625230525195753","0.000682247788505585","0.000682247788505585","0.000682247788505585","0.0005457881580427105","0.0005457881580427105","0.0005457881580427105"
"11","0.007262111932835638","0.007262111932835638","0.007262111932835638","0.0037235322065330275","0.0037235322065330275","0.0037235322065330275","0.01013973685620429","0.01013973685620429","0.01013973685620429","0.0004931219673895813","0.0004931219673895813","0.0004931219673895813","0.009340823610451812","0.009340823610451812","0.009340823610451812","0.020606798305683682","0.020606798305683682","0.020606798305683682","0.017102112298594412","0.017102112298594412","0.017102112298594412","0.0011466773038318688","0.0011466773038318688","0.0011466773038318688","0.011766769962041098","0.011766769962041098","0.011766769962041098","0.005875439655624966","0.005875439655624966","0.005875439655624966"
"12","0.007682904888001553","0.007682904888001553","0.007682904888001553","0.00638968689404599","0.00638968689404599","0.00638968689404599","0.010865663150166061","0.010865663150166061","0.010865663150166061","0.002104414907405465","0.002104414907405465","0.002104414907405465","0.004690951515254737","0.004690951515254737","0.004690951515254737","0.0565983284937194","0.0565983284937194","0.0565983284937194","0.0042114952238861275","0.0042114952238861275","0.0042114952238861275","0.0010910922759755659","0.0010910922759755659","0.0010910922759755659","0.017680888892613697","0.017680888892613697","0.017680888892613697","0.0022747866006363818","0.0022747866006363818","0.0022747866006363818"
"13","0.006497183152696926","0.006497183152696926","0.006497183152696926","0.002336936928000204","0.002336936928000204","0.002336936928000204","0.009159992350200022","0.009159992350200022","0.009159992350200022","0.0012178193683421777","0.0012178193683421777","0.0012178193683421777","0.006848486112494339","0.006848486112494339","0.006848486112494339","0.020221500546789402","0.020221500546789402","0.020221500546789402","0.01692288262462848","0.01692288262462848","0.01692288262462848","0.0023794278492078645","0.0023794278492078645","0.0023794278492078645","0.017171999809327897","0.017171999809327897","0.017171999809327897","0.015312602775833153","0.015312602775833153","0.015312602775833153"
"14","0.027002833289525963","0.027002833289525963","0.027002833289525963","0.0078118111670668535","0.0078118111670668535","0.0078118111670668535","0.004356976143576133","0.004356976143576133","0.004356976143576133","0.00914367715269391","0.00914367715269391","0.00914367715269391","0.0034720540578083584","0.0034720540578083584","0.0034720540578083584","0.01884176246789621","0.01884176246789621","0.01884176246789621","0.002485624590115654","0.002485624590115654","0.002485624590115654","0.0005219363933907005","0.0005219363933907005","0.0005219363933907005","0.004091369965755377","0.004091369965755377","0.004091369965755377","0.01366815141992501","0.01366815141992501","0.01366815141992501"
"15","0.013099093673293148","0.013099093673293148","0.013099093673293148","0.00425154964975721","0.00425154964975721","0.00425154964975721","0.010656122573456415","0.010656122573456415","0.010656122573456415","0.026644781996827085","0.026644781996827085","0.026644781996827085","0.007200589744300527","0.007200589744300527","0.007200589744300527","0.00646531834523411","0.00646531834523411","0.00646531834523411","0.013391039097599105","0.013391039097599105","0.013391039097599105","0.01346337749438997","0.01346337749438997","0.01346337749438997","0.016345156553306716","0.016345156553306716","0.016345156553306716","0.022942742862719214","0.022942742862719214","0.022942742862719214"
"16","0.017665911800616635","0.017665911800616635","0.017665911800616635","0.005087510088204024","0.005087510088204024","0.005087510088204024","0.027441536107182442","0.027441536107182442","0.027441536107182442","0.002327883289434943","0.002327883289434943","0.002327883289434943","0.005893524995930267","0.005893524995930267","0.005893524995930267","0.007468789351906949","0.007468789351906949","0.007468789351906949","0.040639230340927784","0.040639230340927784","0.040639230340927784","0.0007080858682464531","0.0007080858682464531","0.0007080858682464531","0.005777567873491743","0.005777567873491743","0.005777567873491743","0.006088478757602756","0.006088478757602756","0.006088478757602756"
"17","0.020341525746621174","0.020341525746621174","0.020341525746621174","0.001106333707176139","0.001106333707176139","0.001106333707176139","0.037080589808626434","0.037080589808626434","0.037080589808626434","0.00534190088698749","0.00534190088698749","0.00534190088698749","0.010146771801674209","0.010146771801674209","0.010146771801674209","0.012363419675806762","0.012363419675806762","0.012363419675806762","0.027046167993047904","0.027046167993047904","0.027046167993047904","0.004329020168972072","0.004329020168972072","0.004329020168972072","0.040896522795048455","0.040896522795048455","0.040896522795048455","0.013877809268200189","0.013877809268200189","0.013877809268200189"
"18","0.007999144116664282","0.007999144116664282","0.007999144116664282","0.01350184068908399","0.01350184068908399","0.01350184068908399","0.02462487911247124","0.02462487911247124","0.02462487911247124","0.004282190949959249","0.004282190949959249","0.004282190949959249","0.01522584933790328","0.01522584933790328","0.01522584933790328","0.023338543082683214","0.023338543082683214","0.023338543082683214","0.018353519097354797","0.018353519097354797","0.018353519097354797","0.010699874771834084","0.010699874771834084","0.010699874771834084","0.0033945620057580297","0.0033945620057580297","0.0033945620057580297","0.0279801933875096","0.0279801933875096","0.0279801933875096"
"19","0.002863305797823981","0.002863305797823981","0.002863305797823981","0.00924383860745788","0.00924383860745788","0.00924383860745788","0.02006257890767685","0.02006257890767685","0.02006257890767685","0.021223106737775915","0.021223106737775915","0.021223106737775915","0.005544877146628096","0.005544877146628096","0.005544877146628096","0.023936923155316002","0.023936923155316002","0.023936923155316002","0.013852593190560723","0.013852593190560723","0.013852593190560723","0.0013366913379129761","0.0013366913379129761","0.0013366913379129761","0.01462337631112593","0.01462337631112593","0.01462337631112593","0.001791915343739792","0.001791915343739792","0.001791915343739792"
