"Step","_m_M_512_e500_b16_lr0.01_standardized_3 - metrics/mAP_0.5","_m_M_512_e500_b16_lr0.01_standardized_3 - metrics/mAP_0.5__MIN","_m_M_512_e500_b16_lr0.01_standardized_3 - metrics/mAP_0.5__MAX","_m_M_512_e500_b16_lr0.01_standardized_2 - metrics/mAP_0.5","_m_M_512_e500_b16_lr0.01_standardized_2 - metrics/mAP_0.5__MIN","_m_M_512_e500_b16_lr0.01_standardized_2 - metrics/mAP_0.5__MAX","_m_M_512_e500_b16_lr0.01_2 - metrics/mAP_0.5","_m_M_512_e500_b16_lr0.01_2 - metrics/mAP_0.5__MIN","_m_M_512_e500_b16_lr0.01_2 - metrics/mAP_0.5__MAX","_m_M_512_e500_b16_lr0.01_3 - metrics/mAP_0.5","_m_M_512_e500_b16_lr0.01_3 - metrics/mAP_0.5__MIN","_m_M_512_e500_b16_lr0.01_3 - metrics/mAP_0.5__MAX","_m_M_512_e500_b16_lr0.01_standardized_1 - metrics/mAP_0.5","_m_M_512_e500_b16_lr0.01_standardized_1 - metrics/mAP_0.5__MIN","_m_M_512_e500_b16_lr0.01_standardized_1 - metrics/mAP_0.5__MAX","_m_M_512_e500_b16_lr0.01_1 - metrics/mAP_0.5","_m_M_512_e500_b16_lr0.01_1 - metrics/mAP_0.5__MIN","_m_M_512_e500_b16_lr0.01_1 - metrics/mAP_0.5__MAX"
"10","0.00980237455441866","0.00980237455441866","0.00980237455441866","0.006031186756930507","0.006031186756930507","0.006031186756930507","0.023130177611819243","0.023130177611819243","0.023130177611819243","0.0014566999552436026","0.0014566999552436026","0.0014566999552436026","0.02759105741115116","0.02759105741115116","0.02759105741115116","0.0023971987962894277","0.0023971987962894277","0.0023971987962894277"
"11","0.006062157779823188","0.006062157779823188","0.006062157779823188","0.003634996916840258","0.003634996916840258","0.003634996916840258","0.01840992750555206","0.01840992750555206","0.01840992750555206","0.005046824886999094","0.005046824886999094","0.005046824886999094","0.0034905777663319054","0.0034905777663319054","0.0034905777663319054","0.004667289898787871","0.004667289898787871","0.004667289898787871"
"12","0.038087678546464374","0.038087678546464374","0.038087678546464374","0.0186111948614422","0.0186111948614422","0.0186111948614422","0.010455651182374084","0.010455651182374084","0.010455651182374084","0.002687373144212254","0.002687373144212254","0.002687373144212254","0.022583474280104227","0.022583474280104227","0.022583474280104227","0.008229222539165982","0.008229222539165982","0.008229222539165982"
"13","0.029902837974015037","0.029902837974015037","0.029902837974015037","0.022319305173286945","0.022319305173286945","0.022319305173286945","0.015224764114595899","0.015224764114595899","0.015224764114595899","0.0182806422424579","0.0182806422424579","0.0182806422424579","0.051517917882461635","0.051517917882461635","0.051517917882461635","0.00812477829665902","0.00812477829665902","0.00812477829665902"
"14","0.009273551314825958","0.009273551314825958","0.009273551314825958","0.003326145875290758","0.003326145875290758","0.003326145875290758","0.020573476895991104","0.020573476895991104","0.020573476895991104","0.0022416277120896463","0.0022416277120896463","0.0022416277120896463","0.001126625814427728","0.001126625814427728","0.001126625814427728","0.01716768488903973","0.01716768488903973","0.01716768488903973"
"15","0.010173884522050803","0.010173884522050803","0.010173884522050803","0.021264267752373934","0.021264267752373934","0.021264267752373934","0.003788055379402526","0.003788055379402526","0.003788055379402526","0.025734229390085482","0.025734229390085482","0.025734229390085482","0.0013856639815718406","0.0013856639815718406","0.0013856639815718406","0.01369332631082311","0.01369332631082311","0.01369332631082311"
"16","0.023108850380474912","0.023108850380474912","0.023108850380474912","0.040639462651912595","0.040639462651912595","0.040639462651912595","0.020212723556164616","0.020212723556164616","0.020212723556164616","0.04539986342627088","0.04539986342627088","0.04539986342627088","0.012171211971938118","0.012171211971938118","0.012171211971938118","0.05150695124068905","0.05150695124068905","0.05150695124068905"
"17","0.020426412455287046","0.020426412455287046","0.020426412455287046","0.020183318126501728","0.020183318126501728","0.020183318126501728","0.01239602853515116","0.01239602853515116","0.01239602853515116","0.033319160458199264","0.033319160458199264","0.033319160458199264","0.016930086351106342","0.016930086351106342","0.016930086351106342","0.013665406813846677","0.013665406813846677","0.013665406813846677"
"18","0.018199118502850328","0.018199118502850328","0.018199118502850328","0.04245483828702789","0.04245483828702789","0.04245483828702789","0.013075671249442113","0.013075671249442113","0.013075671249442113","0.022614089282146588","0.022614089282146588","0.022614089282146588","0.0011811228517067329","0.0011811228517067329","0.0011811228517067329","0.06967712797095064","0.06967712797095064","0.06967712797095064"
"19","0.0598323175877507","0.0598323175877507","0.0598323175877507","0.028270301523119466","0.028270301523119466","0.028270301523119466","0.02358472872800223","0.02358472872800223","0.02358472872800223","0.04383010929183753","0.04383010929183753","0.04383010929183753","0.014955826255277515","0.014955826255277515","0.014955826255277515","0.03531636033115878","0.03531636033115878","0.03531636033115878"
"20","0.032773001281391836","0.032773001281391836","0.032773001281391836","0.045519759621812636","0.045519759621812636","0.045519759621812636","0.03313808023742877","0.03313808023742877","0.03313808023742877","0.011732633850331462","0.011732633850331462","0.011732633850331462","0.00697348781054288","0.00697348781054288","0.00697348781054288","0.015290938283513574","0.015290938283513574","0.015290938283513574"
"21","0.06016312165588675","0.06016312165588675","0.06016312165588675","0.03943615981019977","0.03943615981019977","0.03943615981019977","0.018115617746471722","0.018115617746471722","0.018115617746471722","0.02684852916683051","0.02684852916683051","0.02684852916683051","0.005903158468698325","0.005903158468698325","0.005903158468698325","0.035786085066825166","0.035786085066825166","0.035786085066825166"
"22","0.03858741177025954","0.03858741177025954","0.03858741177025954","0.039149294945597796","0.039149294945597796","0.039149294945597796","0.009794520967606028","0.009794520967606028","0.009794520967606028","0.03746597578816179","0.03746597578816179","0.03746597578816179","0.019207238346807497","0.019207238346807497","0.019207238346807497","0.008194535740534577","0.008194535740534577","0.008194535740534577"
"23","0.11235013754296483","0.11235013754296483","0.11235013754296483","0.06462459487385255","0.06462459487385255","0.06462459487385255","0.04269488598045271","0.04269488598045271","0.04269488598045271","0.06722240001165912","0.06722240001165912","0.06722240001165912","0.010652874958799359","0.010652874958799359","0.010652874958799359","0.06568943612847386","0.06568943612847386","0.06568943612847386"
"24","0.08545356911037585","0.08545356911037585","0.08545356911037585","0.053814303344959756","0.053814303344959756","0.053814303344959756","0.05581346206219042","0.05581346206219042","0.05581346206219042","0.09125715250572658","0.09125715250572658","0.09125715250572658","0.01283020716949882","0.01283020716949882","0.01283020716949882","0.04316362828637295","0.04316362828637295","0.04316362828637295"
"25","0.10910147459975152","0.10910147459975152","0.10910147459975152","0.07740044820315367","0.07740044820315367","0.07740044820315367","0.08062081360653596","0.08062081360653596","0.08062081360653596","0.04185669813933041","0.04185669813933041","0.04185669813933041","0.040983670327998434","0.040983670327998434","0.040983670327998434","0.06100529131365081","0.06100529131365081","0.06100529131365081"
"26","0.06596982494320858","0.06596982494320858","0.06596982494320858","0.036581373506079304","0.036581373506079304","0.036581373506079304","0.08501128732786883","0.08501128732786883","0.08501128732786883","0.01414880595199949","0.01414880595199949","0.01414880595199949","0.03980867129796041","0.03980867129796041","0.03980867129796041","0.05649033439663217","0.05649033439663217","0.05649033439663217"
"27","0.07202394262101207","0.07202394262101207","0.07202394262101207","0.0538060316264532","0.0538060316264532","0.0538060316264532","0.0572498567300209","0.0572498567300209","0.0572498567300209","0.03826667893493924","0.03826667893493924","0.03826667893493924","0.02295801544632349","0.02295801544632349","0.02295801544632349","0.046884387883758274","0.046884387883758274","0.046884387883758274"
"28","0.045289042815000895","0.045289042815000895","0.045289042815000895","0.03421950381779979","0.03421950381779979","0.03421950381779979","0.06361028578764401","0.06361028578764401","0.06361028578764401","0.0072131776746126395","0.0072131776746126395","0.0072131776746126395","0.033881505723398514","0.033881505723398514","0.033881505723398514","0.030758981892230565","0.030758981892230565","0.030758981892230565"
"29","0.042344820122378855","0.042344820122378855","0.042344820122378855","0.08122755210203891","0.08122755210203891","0.08122755210203891","0.08316931454908466","0.08316931454908466","0.08316931454908466","0.046486935556910094","0.046486935556910094","0.046486935556910094","0.040729680770860185","0.040729680770860185","0.040729680770860185","0.04994373164220063","0.04994373164220063","0.04994373164220063"
"30","0.07082194222875915","0.07082194222875915","0.07082194222875915","0.04402938536041014","0.04402938536041014","0.04402938536041014","0.026397467564969326","0.026397467564969326","0.026397467564969326","0.02606656174727465","0.02606656174727465","0.02606656174727465","0.05370925376337078","0.05370925376337078","0.05370925376337078","0.05538768821147032","0.05538768821147032","0.05538768821147032"
"31","0.11683438008612651","0.11683438008612651","0.11683438008612651","0.0754567554826776","0.0754567554826776","0.0754567554826776","0.029717248177649782","0.029717248177649782","0.029717248177649782","0.08077362847024555","0.08077362847024555","0.08077362847024555","0.024608480398271414","0.024608480398271414","0.024608480398271414","0.031668086841743916","0.031668086841743916","0.031668086841743916"
"32","0.13728868959170812","0.13728868959170812","0.13728868959170812","0.05331603544242642","0.05331603544242642","0.05331603544242642","0.06683250468930364","0.06683250468930364","0.06683250468930364","0.12053587772365545","0.12053587772365545","0.12053587772365545","0.03811378831740159","0.03811378831740159","0.03811378831740159","0.0668162086035696","0.0668162086035696","0.0668162086035696"
"33","0.05827645219862384","0.05827645219862384","0.05827645219862384","0.04942712069623646","0.04942712069623646","0.04942712069623646","0.06907596149019335","0.06907596149019335","0.06907596149019335","0.08755443721187783","0.08755443721187783","0.08755443721187783","0.03897964445509937","0.03897964445509937","0.03897964445509937","0.03544234382558408","0.03544234382558408","0.03544234382558408"
"34","0.15165735024045499","0.15165735024045499","0.15165735024045499","0.0757494359533641","0.0757494359533641","0.0757494359533641","0.0762523885804308","0.0762523885804308","0.0762523885804308","0.08126233544531884","0.08126233544531884","0.08126233544531884","0.08851068748934786","0.08851068748934786","0.08851068748934786","0.08595873519491061","0.08595873519491061","0.08595873519491061"
"35","0.13959292008959095","0.13959292008959095","0.13959292008959095","0.034737340309291445","0.034737340309291445","0.034737340309291445","0.059857309025145286","0.059857309025145286","0.059857309025145286","0.05446719385921697","0.05446719385921697","0.05446719385921697","0.02037757083252415","0.02037757083252415","0.02037757083252415","0.04675930157734138","0.04675930157734138","0.04675930157734138"
"36","0.10642038305438828","0.10642038305438828","0.10642038305438828","0.05398419858306902","0.05398419858306902","0.05398419858306902","0.05715922512746034","0.05715922512746034","0.05715922512746034","0.034694328591745136","0.034694328591745136","0.034694328591745136","0.029981680276896468","0.029981680276896468","0.029981680276896468","0.06983178740243567","0.06983178740243567","0.06983178740243567"
"37","0.03080274538701422","0.03080274538701422","0.03080274538701422","0.06338258742896448","0.06338258742896448","0.06338258742896448","0.013960940742550228","0.013960940742550228","0.013960940742550228","0.011541347286201369","0.011541347286201369","0.011541347286201369","0.015944953739090863","0.015944953739090863","0.015944953739090863","0.06772112313663976","0.06772112313663976","0.06772112313663976"
"38","0.07584559495864977","0.07584559495864977","0.07584559495864977","0.07877500437824313","0.07877500437824313","0.07877500437824313","0.029580049694551476","0.029580049694551476","0.029580049694551476","0.12417374970127362","0.12417374970127362","0.12417374970127362","0.06690458595672057","0.06690458595672057","0.06690458595672057","0.05143049704477362","0.05143049704477362","0.05143049704477362"
"39","0.11178967772665235","0.11178967772665235","0.11178967772665235","0.07707398843454322","0.07707398843454322","0.07707398843454322","0.08537549262013891","0.08537549262013891","0.08537549262013891","0.03257011820666993","0.03257011820666993","0.03257011820666993","0.08132614961761206","0.08132614961761206","0.08132614961761206","0.13137605465034233","0.13137605465034233","0.13137605465034233"
"40","0.16485326623231003","0.16485326623231003","0.16485326623231003","0.043735359740164174","0.043735359740164174","0.043735359740164174","0.019997469759931934","0.019997469759931934","0.019997469759931934","0.0944951230437998","0.0944951230437998","0.0944951230437998","0.055126659590185624","0.055126659590185624","0.055126659590185624","0.08753045958077525","0.08753045958077525","0.08753045958077525"
